nwikiproject,start_ts,end_ts,tcount
15,1110356429,1125908429,8
15,1125908429,1141460429,9
15,1141460429,1157012429,10
15,1157012429,1172564429,11
15,1172564429,1188116429,12
15,1188116429,1203668429,13
15,1203668429,1219220429,14
15,1219220429,1234772429,15
15,1234772429,1250324429,16
15,1250324429,1265876429,17
15,1265876429,1281428429,18
15,1281428429,1296980429,19
15,1296980429,1312532429,20
15,1312532429,1328084429,21
15,1328084429,1343636429,22
15,1343636429,1359188429,23
15,1359188429,1374740429,24
15,1374740429,1390292429,25
15,1390292429,1405844429,26
15,1405844429,1421396429,27
15,1421396429,1433341432,28
16,1001492429,1017044429,1
16,1017044429,1032596429,2
16,1032596429,1048148429,3
16,1048148429,1063700429,4
16,1063700429,1079252429,5
16,1079252429,1094804429,6
16,1094804429,1110356429,7
16,1110356429,1125908429,8
16,1125908429,1141460429,9
16,1141460429,1157012429,10
16,1157012429,1172564429,11
16,1172564429,1188116429,12
16,1188116429,1203668429,13
16,1203668429,1219220429,14
16,1219220429,1234772429,15
16,1234772429,1250324429,16
16,1250324429,1265876429,17
16,1265876429,1281428429,18
16,1281428429,1296980429,19
16,1296980429,1312532429,20
16,1312532429,1328084429,21
16,1328084429,1343636429,22
16,1343636429,1359188429,23
16,1359188429,1374740429,24
16,1374740429,1390292429,25
16,1390292429,1405844429,26
16,1405844429,1421396429,27
16,1421396429,1433341432,28
17,1001492429,1017044429,1
17,1017044429,1032596429,2
17,1032596429,1048148429,3
17,1048148429,1063700429,4
17,1063700429,1079252429,5
17,1079252429,1094804429,6
17,1094804429,1110356429,7
17,1110356429,1125908429,8
17,1125908429,1141460429,9
17,1141460429,1157012429,10
17,1157012429,1172564429,11
17,1172564429,1188116429,12
17,1188116429,1203668429,13
17,1203668429,1219220429,14
17,1219220429,1234772429,15
17,1234772429,1250324429,16
17,1250324429,1265876429,17
17,1265876429,1281428429,18
17,1281428429,1296980429,19
17,1296980429,1312532429,20
17,1312532429,1328084429,21
17,1328084429,1343636429,22
17,1343636429,1359188429,23
17,1359188429,1374740429,24
17,1374740429,1390292429,25
17,1390292429,1405844429,26
17,1405844429,1421396429,27
17,1421396429,1433341432,28
18,1001492429,1017044429,1
18,1017044429,1032596429,2
18,1032596429,1048148429,3
18,1048148429,1063700429,4
18,1063700429,1079252429,5
18,1079252429,1094804429,6
18,1094804429,1110356429,7
18,1110356429,1125908429,8
18,1125908429,1141460429,9
18,1141460429,1157012429,10
18,1157012429,1172564429,11
18,1172564429,1188116429,12
18,1188116429,1203668429,13
18,1203668429,1219220429,14
18,1219220429,1234772429,15
18,1234772429,1250324429,16
18,1250324429,1265876429,17
18,1265876429,1281428429,18
